Y,PI,R,U
"100,4787964","0,215031211879994","0,311791861288364","0,139666666666667"
"100,7024926","0,176374254103992","0,267279394564199","0,160666666666667"
"104,3156328","0,141035675733246","0,221166573059049","0,153333333333333"
"103,3655889","0,107794416361575","0,17749957958798","0,145"
"104,3879005","0,090660810308287","0,14989845327237","0,143666666666667"
"104,762667","0,077715451867544","0,141572890236091","0,159666666666667"
"106,3381334","0,057231032539482","0,148736670554369","0,159666666666667"
"107,2675092","0,053052155998032","0,148297869535057","0,165666666666667"
"104,701935","0,046491269352283","0,192065662089316","0,173"
"106,8948084","0,037369559077943","0,220352380733354","0,189333333333333"
"106,8964871","0,026263640804395","0,237445116460698","0,187666666666667"
"105,7116986","0,018216749361391","0,271776955547564","0,177333333333333"
"105,3966038","0,023016621161181","0,222161724206696","0,188"
"106,3843484","0,032671135139299","0,209861263587483","0,201666666666667"
"106,3900789","0,055039153368942","0,162973478865468","0,198"
"108,0131752","0,083611492570373","0,068032783045015","0,183666666666667"
"109,8042039","0,078797378664677","0,063208605759271","0,179333333333333"
"110,529897","0,065829778089791","0,050593933765489","0,186333333333333"
"111,527977","0,075599081859594","0,031693350965467","0,178666666666667"
"113,0135542","0,062032212007441","0,062052070488303","0,162333333333333"
"113,42592","0,062109571950167","0,066154049976782","0,168666666666667"
"113,0800304","0,069975148752328","0,045109662243722","0,175666666666667"
"112,1233528","0,066382878221247","0,058634845821782","0,176"
"112,3982116","0,074915662828949","0,057950611822242","0,18"
"114,5735815","0,076268576572363","0,074359803190912","0,189666666666667"
"115,0117284","0,078047883112817","0,08424809841182","0,196333333333333"
"116,9250859","0,076344495220113","0,05743098115437","0,184333333333333"
"118,2915737","0,106357795972986","-0,027979497890734","0,188333333333333"
"116,8673798","0,15628924308259","-0,080155879470829","0,191333333333333"
"116,5538174","0,168581251154599","-0,059892016066791","0,205"
"117,6264049","0,152152269537157","0,013020853074175","0,201"
"119,052584","0,114336862138479","0,11437919903919","0,198"
"121,2922223","0,067615502307987","0,152623526816379","0,198333333333333"
"123,8269451","0,054911464559612","0,107316888593438","0,198333333333333"
"125,5049742","0,069004376841077","0,047634924750128","0,182333333333333"
"126,5745542","0,072345753965502","0,036835573280319","0,173666666666667"
"126,8493434","0,074440690921119","0,048651152324415","0,170333333333333"
"128,685748","0,077970056564129","0,082952526953247","0,175"
"128,2158729","0,062062613029783","0,146682409308065","0,171666666666667"
"129,3405094","0,060900651993764","0,170229551027558","0,163666666666667"
"131,4578764","0,055112222224085","0,180354084672015","0,163"
"132,2643527","0,042964529882401","0,181544889941003","0,169"
"134,1149639","0,03835460934473","0,140530831555537","0,16"
"135,5588333","0,031418159010368","0,115955557172263","0,143"
"138,1222744","0,029879677140352","0,100260549423422","0,152"
"140,940272","0,032906521609254","0,088195494278763","0,155666666666667"
"142,11316","0,040218478719334","0,071643073016562","0,150333333333333"
"144,5460051","0,042533826161235","0,048553052474114","0,140333333333333"
"147,1703075","0,04634248094464","0,025788071272134","0,138333333333333"
"149,2055974","0,055590072359644","-0,007441975323622","0,140666666666667"
"152,1890436","0,062609367866848","-0,014869415050823","0,138666666666667"
"145,9568515","0,062332408019071","0,012332216042371","0,122"
"143,1954978","0,057828725448115","0,052015334385082","0,136333333333333"
"146,5517479","0,051780299037734","0,095217861579064","0,146666666666667"
"150,2980775","0,044022216599203","0,12524885608775","0,143666666666667"
"153,7287161","0,042323730079815","0,121999103136221","0,126333333333333"
"156,214613","0,04863420191147","0,08328347457964","0,123666666666667"
"158,9852875","0,051068132549483","0,044951954204562","0,131666666666667"
"160,7912538","0,045970404093493","0,019662708411883","0,121333333333333"
"162,5641274","0,05579969694572","-0,007306227322596","0,105666666666667"
"164,141036","0,06102107119877","-0,008415398306257","0,108"
"166,4958005","0,06591907551375","0,012109106446012","0,109666666666667"
"166,5261671","0,071361449135862","0,032326469906304","0,109666666666667"
"166,8404788","0,067045780351196","0,055106321286883","0,094666666666667"
"166,7421192","0,057690053175839","0,076061301023234","0,103666666666667"
"168,1966485","0,050030494655879","0,059548513772478","0,111"
"170,7891125","0,052404976777868","0,019499229734102","0,113333333333333"
"171,1115059","0,056075770376152","0,012003718848355","0,104"
"171,5139528","0,063519399867615","-0,001900216430712","0,104"
"174,4622899","0,065642744095909","0,009021578964326","0,113666666666667"
"175,6646743","0,060732522592248","0,02882291514481","0,104666666666667"
"175,5734029","0,058409067234268","0,023718417480541","0,094333333333333"
"176,3008245","0,058060454611649","0,021554389892035","0,105666666666667"
"174,4592754","0,06392820966925","0,023454316787882","0,114333333333333"
"174,6425581","0,065872351801598","0,056855194194189","0,111"
"175,3549766","0,065167631958195","0,067861672803344","0,098726666666667"
"173,1587205","0,076560657946341","0,071050861166251","0,105666666666667"
"169,8446314","0,085130445460158","0,063470246757973","0,128333333333333"
"167,2068704","0,095258909424904","0,038939578665124","0,139333333333333"
"165,6721473","0,103596667542959","0,021696504460922","0,141"
"164,5836498","0,101498414293478","0,018246373130117","0,148666666666667"
"163,4352758","0,091481570992394","0,023776096664004","0,173333333333333"
"162,7529063","0,087292155272398","0,030413314740672","0,173666666666667"
"161,6698364","0,070497904841498","0,062842090885334","0,167333333333333"
"163,7738284","0,048945942261383","0,082506257244044","0,178333333333333"
"164,7192755","0,035593405002319","0,123739107968667","0,186666666666667"
"165,1158262","0,025683218202631","0,135858924987075","0,18"
"165,2011279","0,028175143641961","0,112144606149104","0,173333333333333"
